timestamp,temp,humi,vib_x,vib_y,vib_z
11341788,27.72,37.51,-520,-832,16528
11342790,27.72,37.54,-580,-988,16464
11343791,27.69,37.53,-536,-924,16468
11344792,27.71,37.58,-556,-900,16392
11345794,27.69,37.55,-552,-876,16388
11346795,27.7,37.56,-560,-868,16504
11347796,27.71,37.59,-524,-980,16460
11348798,27.7,37.56,-556,-876,16472
11349799,27.7,37.69,-496,-924,16464
11350801,27.7,37.69,-540,-900,16440
11351945,27.7,37.58,-516,-1020,16300
11352947,27.7,37.64,-536,-908,16440
11353948,27.69,37.66,-556,-936,16352
11354950,27.68,37.66,-556,-948,16328
11355951,27.7,37.7,-516,-856,16404
11356952,27.71,37.75,-524,-940,16416
11357953,27.71,37.76,-460,-884,16436
11358955,27.7,37.83,-508,-952,16408
11359956,27.7,37.81,-556,-856,16540
11360958,27.7,37.74,-440,-916,16488
11361959,27.67,37.74,-484,-908,16504
11362960,27.69,37.73,-604,-912,16396
11363962,27.71,37.72,-504,-924,16428
11364963,27.7,37.69,-508,-876,16424
11365965,27.7,37.68,-496,-924,16508
11366966,27.71,37.71,-496,-924,16412
11367968,27.7,37.69,-488,-912,16376
11368969,27.71,37.72,-588,-920,16468
11369971,27.71,37.77,-488,-896,16372
11370972,27.7,37.68,-500,-920,16432
11372116,27.72,37.79,-520,-944,16532
11373118,27.73,37.7,-520,-900,16404
11374119,27.71,37.79,-560,-880,16400
11375120,27.71,37.77,-548,-956,16336
11376122,27.69,37.7,-584,-888,16412
11377123,27.71,37.72,-540,-912,16548
11378125,27.72,37.72,-556,-900,16476
11379126,27.7,37.77,-540,-940,16496
11380128,27.69,37.79,-520,-876,16408
11381129,27.69,37.72,-524,-920,16448
11382130,27.71,37.67,-476,-884,16436
11383132,27.69,37.69,-600,-892,16584
11384133,27.69,37.67,-476,-924,16564
11385135,27.69,37.71,-508,-896,16420
11386136,27.67,37.66,-476,-876,16576
11387137,27.68,37.66,-528,-956,16368
11388139,27.7,37.66,-524,-944,16476
11389140,27.68,37.67,-524,-944,16400
11390142,27.67,37.61,-508,-888,16480
11391143,27.66,37.58,-528,-968,16480
11392145,27.65,37.6,-504,-932,16444
11393146,27.69,37.65,-560,-952,16372
11394148,27.68,37.64,-572,-908,16496
11395149,27.65,37.47,-548,-876,16412
11396294,27.67,37.61,-492,-968,16460
11397296,27.65,37.61,-516,-856,16564
11398297,27.65,37.54,-532,-876,16468
11399298,27.65,37.6,-544,-864,16408
11400300,27.65,37.57,-504,-904,16508
11401301,27.64,37.53,-560,-884,16452
11402303,27.65,37.54,-568,-980,16444
11403304,27.64,37.6,-540,-892,16528
11404305,27.64,37.67,-580,-980,16432
11405307,27.64,37.61,-544,-884,16516
11406308,27.65,37.54,-588,-904,16400
11407310,27.65,37.6,-556,-948,16512
11408311,27.65,37.61,-568,-888,16392
11409313,27.64,37.54,-532,-900,16472
11410314,27.65,37.62,-556,-880,16392
11411316,27.64,37.56,-488,-904,16520
11412317,27.65,37.62,-528,-936,16396
11413318,27.66,37.57,-564,-944,16504
11414463,27.64,37.61,-532,-924,16436
11415464,27.67,37.59,-504,-892,16524
11416465,27.66,37.56,-552,-852,16372
11417467,27.65,37.55,-588,-888,16484
11418468,27.67,37.88,-492,-924,16508
11419469,27.67,38.11,-540,-924,16588
11420471,27.66,38.13,-536,-924,16504
11421472,27.67,37.94,-560,-864,16460
11422473,27.69,37.89,-468,-904,16408
11423475,27.67,38.1,-552,-924,16500
11424476,27.67,38.07,-512,-924,16532
11425478,27.67,38.02,-472,-920,16472
11426479,27.66,38.01,-528,-940,16332
11427480,27.67,38.01,-460,-936,16544
11428482,27.69,38.08,-540,-916,16448
11429483,27.68,38.09,-552,-944,16364
11430627,27.69,38.09,-564,-940,16472
11431628,27.69,37.9,-432,-892,16496
11432629,27.66,37.99,-544,-920,16416
11433631,27.67,37.92,-600,-940,16408
11434632,27.67,37.94,-496,-900,16564
11435633,27.67,37.93,-472,-992,16400
11436635,27.67,37.91,-532,-924,16376
11437636,27.67,37.86,-532,-924,16448
11438638,27.67,37.84,-528,-872,16580
11439640,27.66,37.84,-464,-932,16380
11440641,27.67,37.63,-528,-896,16344
11441642,27.66,37.77,-516,-932,16404
11442644,27.67,37.81,-476,-904,16408
11443645,27.68,37.83,-512,-948,16360
11444647,27.65,37.81,-540,-916,16488
11445648,27.67,37.85,-560,-912,16448
11446792,27.68,37.74,-516,-940,16488
11447794,27.64,37.86,-508,-924,16328
11448795,27.67,37.84,-520,-848,16532
11449797,27.66,37.81,-568,-892,16400
11450799,27.66,37.78,-496,-916,16440
11451801,27.67,37.73,-516,-932,16460
11452802,27.69,37.98,-540,-884,16584
11453804,27.69,38.04,-536,-920,16512
11454805,27.69,38.03,-412,-944,16456
11455807,27.68,38.01,-448,-892,16444
11456808,27.67,38.03,-536,-932,16440
11457809,27.67,37.99,-560,-924,16440
11458811,27.65,37.96,-552,-876,16508
11459812,27.66,37.98,-524,-880,16440
11460813,27.67,37.88,-500,-880,16456
11461815,27.68,37.91,-516,-932,16556
11462816,27.67,37.83,-496,-928,16416
11463818,27.66,37.71,-504,-948,16500
11464819,27.67,37.78,-540,-972,16376
11465820,27.67,37.8,-544,-936,16400
11466822,27.67,37.69,-532,-864,16520
11467966,27.66,37.69,-464,-924,16552
11468968,27.67,37.76,-516,-980,16508
11469969,27.69,37.83,-524,-940,16480
11470971,27.7,38.1,-532,-928,16444
11471973,27.7,38.15,-588,-920,16492
11472974,27.68,38.3,-508,-972,16552
11473976,27.71,38.43,-504,-868,16420
11474977,27.74,38.55,-536,-864,16484
11475978,27.72,38.45,-480,-884,16476
11476980,27.7,38.5,-484,-848,16492
11477981,27.71,38.45,-524,-888,16484
11478983,27.71,38.42,-516,-920,16352
11479985,27.74,38.41,-528,-968,16448
11480986,27.71,38.37,-440,-924,16488
11481988,27.72,38.28,-484,-944,16432
11482989,27.72,38.23,-548,-900,16572
11483991,27.72,38.27,-516,-864,16408
11484992,27.71,38.18,-536,-856,16392
11485994,27.72,38.19,-548,-820,16536
11486995,27.73,38.14,-464,-936,16508
11487997,27.75,37.98,-600,-844,16492
11488998,27.75,38.05,-476,-812,16512
11490000,27.71,37.98,-524,-944,16412
11491001,27.72,37.98,-456,-924,16404
11492003,27.7,37.96,-528,-892,16384
11493147,27.73,37.91,-532,-896,16468
11494149,27.72,38.11,-588,-968,16484
11495150,27.72,38.15,-496,-904,16572
11496151,27.72,38.15,-560,-896,16416
11497153,27.73,38.17,-504,-904,16500
11498154,27.73,37.99,-528,-864,16424
11499155,27.71,38.1,-520,-912,16388
11500157,27.72,38.13,-504,-852,16484
11501158,27.72,38.17,-540,-844,16412
11502160,27.69,38.17,-528,-936,16400
11503161,27.72,38.1,-536,-996,16396
11504163,27.72,38.1,-564,-868,16420
11505164,27.7,38.03,-548,-896,16568
11506166,27.75,38.3,-508,-884,16372
11507167,27.75,38.53,-560,-952,16488
11508168,27.73,38.54,-520,-908,16564
11509170,27.73,38.51,-520,-1012,16440
11510171,27.74,38.52,-584,-900,16496
11511172,27.72,38.47,-536,-844,16480
11512317,27.72,38.39,-512,-912,16452
11513318,27.73,38.23,-400,-956,16472
11514319,27.71,38.26,-452,-968,16452
11515321,27.72,38.22,-444,-884,16532
11516322,27.7,38.21,-312,-836,16476
11517324,27.69,38.15,-416,-908,16396
11518325,27.69,38.14,-412,-992,16364
11519327,27.71,38.02,-396,-1004,16428
11520328,27.7,38.04,-364,-932,16384
11521330,27.7,38.05,-392,-988,16536
11522331,27.7,37.98,-328,-948,16340
11523332,27.73,37.86,-356,-980,16352
11524334,27.69,37.92,-260,-908,16508
11525335,27.7,37.97,-372,-928,16524
11526336,27.7,37.91,-312,-984,16524
11527338,27.69,37.94,-360,-920,16384
11528339,27.71,37.88,-336,-1008,16444
11529484,27.7,37.86,-368,-948,16468
11530485,27.71,37.85,-384,-912,16600
11531486,27.68,37.83,-420,-944,16396
11532488,27.69,37.84,-332,-988,16500
11533489,27.68,37.75,-376,-964,16532
11534490,27.69,37.63,-336,-980,16504
11535492,27.7,37.78,-340,-920,16508
11536493,27.69,37.62,-368,-956,16500
11537495,27.7,37.75,-324,-964,16512
11538496,27.71,37.77,-368,-940,16492
11539497,27.7,37.77,-332,-896,16540
11540499,27.7,37.74,-324,-988,16412
11541500,27.68,37.68,-340,-956,16500
11542501,27.68,37.76,-320,-988,16468
11543503,27.69,37.68,-272,-916,16428
11544647,27.69,37.61,-308,-996,16520
11545649,27.68,37.74,-324,-964,16448
11546650,27.68,37.73,-296,-936,16460
11547651,27.69,37.7,-292,-964,16492
11548653,27.67,37.69,-284,-984,16460
11549654,27.66,37.69,-360,-928,16476
11550656,27.69,37.6,-280,-988,16388
11551657,27.68,37.58,-328,-996,16448
11552658,27.68,37.68,-340,-964,16512
11553660,27.7,37.74,-348,-952,16412
11554661,27.7,37.66,-384,-920,16448
11555662,27.69,37.63,-344,-976,16428
11556664,27.7,37.77,-364,-928,16436
11557665,27.7,37.78,-408,-952,16360
11558666,27.7,37.65,-324,-944,16532
11559668,27.71,37.89,-404,-960,16440
11560669,27.7,37.98,-328,-960,16432
11561670,27.72,37.84,-344,-932,16476
11562672,27.71,38.0,-308,-972,16352
11563673,27.72,37.97,-308,-936,16340
11564675,27.71,38.02,-288,-864,16424
11565819,27.7,37.99,-396,-980,16368
